Identifier,Yield,SM Dipole Moment,SM dG value,SM HOMO E,SM LUMO E,SM HOMO-LUMO Gap,SM Electronegativity,SM Hardness,SM Electrophil,SM BL-1-2,SM BL-2-3,SM BL-3-4,SM BL-4-5,SM BL-5-6,SM BL-1-7,SM BL-1-8,SM BL-5-9,SM BL-6-10,SM BL-6-11,SM BA-1-2-3,SM BA-2-3-4,SM BA-3-4-5,SM BA-4-5-6,SM BA-2-1-7,SM BA-7-1-8,SM BA-4-5-9,SM BA-5-6-10,SM BA-5-6-11,SM BO-1-2,SM BO-2-3,SM BO-3-4,SM BO-4-5,SM BO-5-6,SM BO-1-7,SM BO-1-8,SM BO-5-9,SM BO-6-10,SM BO-6-11,SM BO-1,SM BO-2,SM BO-3,SM BO-4,SM BO-5,SM BO-6,SM BO-7,SM BO-8,SM BO-9,SM BO-10,SM BO-11,SM Charge-1,SM Charge-2,SM Charge-3,SM Charge-4,SM Charge-5,SM Charge-6,SM Charge-7,SM Charge-8,SM Charge-9,SM Charge-10,SM Charge-11,SM core e-1,SM core e-2,SM core e-3,SM core e-4,SM core e-5,SM core e-6,SM core e-7,SM core e-8,SM core e-9,SM core e-10,SM core e-11,SM val e-1,SM val e-2,SM val e-3,SM val e-4,SM val e-5,SM val e-6,SM val e-7,SM val e-8,SM val e-9,SM val e-10,SM val e-11,SM ryd e-1,SM ryd e-2,SM ryd e-3,SM ryd e-4,SM ryd e-5,SM ryd e-6,SM ryd e-7,SM ryd e-8,SM ryd e-9,SM ryd e-10,SM ryd e-11,SM tot e-1,SM tot e-2,SM tot e-3,SM tot e-4,SM tot e-5,SM tot e-6,SM tot e-7,SM tot e-8,SM tot e-9,SM tot e-10,SM tot e-11,SM NMR-1,SM NMR-2,SM NMR-3,SM NMR-4,SM NMR-5,SM NMR-6,SM NMR-7,SM NMR-8,SM NMR-9,SM NMR-10,SM NMR-11,pdt Dipole Moment,pdt dG value,pdt HOMO E,pdt LUMO E,pdt HOMO-LUMO Gap,pdt Electronegativity,pdt Hardness,pdt Electrophil,pdt BL-1-2,pdt BL-2-3,pdt BL-3-4,pdt BL-4-5,pdt BL-5-6,pdt BL-1-7,pdt BL-1-8,pdt BL-5-9,pdt BL-6-10,pdt BL-6-11,pdt BL-1-6,pdt BA-1-2-3,pdt BA-2-3-4,pdt BA-3-4-5,pdt BA-4-5-6,pdt BA-2-1-7,pdt BA-7-1-8,pdt BA-4-5-9,pdt BA-5-6-10,pdt BA-5-6-11,pdt BA-2-1-6,pdt BA-2-1-8,pdt BA-1-6-5,pdt BA-5-6-10,pdt BA-10-6-11,pdt BO-1-2,pdt BO-2-3,pdt BO-3-4,pdt BO-4-5,pdt BO-5-6,pdt BO-1-7,pdt BO-1-8,pdt BO-5-9,pdt BO-6-10,pdt BO-6-11,pdt BO-1-6,pdt BO-1,pdt BO-2,pdt BO-3,pdt BO-4,pdt BO-5,pdt BO-6,pdt BO-7,pdt BO-8,pdt BO-9,pdt BO-10,pdt BO-11,pdt Charge-1,pdt Charge-2,pdt Charge-3,pdt Charge-4,pdt Charge-5,pdt Charge-6,pdt Charge-7,pdt Charge-8,pdt Charge-9,pdt Charge-10,pdt Charge-11,pdt core e-1,pdt core e-2,pdt core e-3,pdt core e-4,pdt core e-5,pdt core e-6,pdt core e-7,pdt core e-8,pdt core e-9,pdt core e-10,pdt core e-11,pdt val e-1,pdt val e-2,pdt val e-3,pdt val e-4,pdt val e-5,pdt val e-6,pdt val e-7,pdt val e-8,pdt val e-9,pdt val e-10,pdt val e-11,pdt ryd e-1,pdt ryd e-2,pdt ryd e-3,pdt ryd e-4,pdt ryd e-5,pdt ryd e-6,pdt ryd e-7,pdt ryd e-8,pdt ryd e-9,pdt ryd e-10,pdt ryd e-11,pdt tot e-1,pdt tot e-2,pdt tot e-3,pdt tot e-4,pdt tot e-5,pdt tot e-6,pdt tot e-7,pdt tot e-8,pdt tot e-9,pdt tot e-10,pdt tot e-11,pdt NMR-1,pdt NMR-2,pdt NMR-3,pdt NMR-4,pdt NMR-5,pdt NMR-6,pdt NMR-7,pdt NMR-8,pdt NMR-9,pdt NMR-10,pdt NMR-11,dG rxn,d Dipole Moment,d  HOMO E,d  LUMO E,d HOMO-LUMO Gap,d Electronegativity,d Hardness,d Electrophilicity,d BL1,d BL2,d BL3,d BL4,d BL5,d BL6,d BL7,d BL8,d BL9,d BL10,d BO-B1,d BO-B2,d BO-B3,d BO-B4,d BO-B5,d BO-B6,d BO-B7,d BO-B8,d BO-B9,d BO-B10,d BO1,d BO2,d BO3,d BO4,d BO5,d BO6,d BO7,d BO8,d BO9,d BO10,d BO11,d charge 1,d charge 2,d charge 3,d charge 4,d charge 5,d charge 6,d charge 7,d charge 8,d charge 9,d charge 10,d charge 11,d core 1,d core 2,d core 3,d core 4,d core 5,d core 6,d core 7,d core 8,d core 9,d core 10,d core 11,d val 1,d val 2,d val 3,d val 4,d val 5,d val 6,d val 7,d val 8,d val 9,d val 10,d val 11,d ryd 1,d ryd 2,d ryd 3,d ryd 4,d ryd 5,d ryd 6,d ryd 7,d ryd 8,d ryd 9,d ryd 10,d ryd 11,d tot 1,d tot 2,d tot 3,d tot 4,d tot 5,d tot 6,d tot 7,d tot 8,d tot 9,d tot 10,d tot 11,d NMR 1,d NMR 2,d NMR 3,d NMR 4,d NMR 5,d NMR 6,d NMR 7,d NMR 8,d NMR 9,d NMR 10,d NMR 11
retro-7,,2.7202,-734.3395,-0.21581,-0.02521,-0.1906,0.12051,0.0953,0.07619,1.5022,1.5704,1.5891,1.5003,1.3385,1.4547,1.4995,1.0888,1.5124,1.0936,114.2504,111.1286,112.9126,121.0077,128.2544,118.1092,117.9397,127.2822,117.3069,1.0435,0.9607,0.9383,1.0392,1.8871,1.1891,1.0354,0.9076,0.9999,0.9129,3.4107,3.8864,3.9902,3.8951,3.9522,3.9461,3.8671,3.8746,0.9502,4.0063,0.9549,0.07013,-0.50589,-0.12073,-0.46798,-0.2282,-0.20278,0.45072,-0.50415,0.22551,-0.07272,0.21757,1.99908,1.99919,1.99904,1.99922,1.99899,1.99897,1.99912,1.99924,0,1.99908,0,3.91501,4.49282,4.10761,4.45356,4.21427,4.18646,3.51395,4.49099,0.77347,4.06007,0.78097,0.01578,0.01388,0.01408,0.0152,0.01494,0.01735,0.03621,0.01393,0.00102,0.01358,0.00147,5.92987,6.50589,6.12073,6.46798,6.2282,6.20278,5.54928,6.50415,0.77449,6.07272,0.78243,54.2402,145.3919,128.9544,144.2587,69.0423,49.276,4.4904,159.4249,26.5345,149.2836,26.2937,4.0539,-734.357496,-0.19259,-0.02264,-0.16995,0.10762,0.08498,0.06814,1.5468,1.5447,1.5611,1.4972,1.4932,1.5368,1.5449,1.0879,1.5922,1.1042,1.5546,111.1728,107.868,115.3136,123.7142,109.8447,110.3595,117.7689,117.2253,107.5126,112.9995,107.191,114.182,117.2253,103.4675,0.971,0.9756,0.9604,1.0614,1.0531,0.9426,0.9756,0.9307,0.9267,0.8797,0.9681,3.9985,3.8918,3.998,3.8868,3.113,3.9514,3.8738,3.8914,0.9556,3.9728,0.9186,-0.14662,-0.44721,-0.13626,-0.50786,-0.12781,-0.3144,0.62438,-0.44438,0.21197,-0.04206,0.25074,1.99902,1.9992,1.99903,1.99923,1.99927,1.99911,1.99926,1.99926,0,1.99912,0,4.13199,4.43209,4.12283,4.49531,4.1136,4.29684,3.33425,4.43099,0.78705,4.02897,0.74705,0.0156,0.01592,0.0144,0.01333,0.01493,0.01844,0.04211,0.01413,0.00099,0.01398,0.00221,6.14662,6.44721,6.13626,6.50786,6.12781,6.3144,5.37562,6.44438,0.78803,6.04206,0.74926,138.6097,147.1279,143.1451,145.9333,87.3271,131.5665,-20.5804,150.4848,27.1967,145.7285,29.186,-11.29266096,1.3337,0.02322,0.00257,0.02065,-0.01289,-0.01032,-0.00805,0.0446,-0.0257,-0.028,-0.0031,0.1547,0.0821,0.0454,-0.0009,0.0798,0.0106,-0.0725,0.0149,0.0221,0.0222,-0.834,-0.2465,-0.0598,0.0231,-0.0732,-0.0332,0.5878,0.0054,0.0078,-0.0083,-0.8392,0.0053,0.0067,0.0168,0.0054,-0.0335,-0.0363,-0.21675,0.05868,-0.01553,-0.03988,0.10039,-0.11162,0.17366,0.05977,-0.01354,0.03066,0.03317,-6.00E-05,1.00E-05,-1.00E-05,1.00E-05,0.00028,0.00014,0.00014,2.00E-05,0,4.00E-05,0,0.21698,-0.06073,0.01522,0.04175,-0.10067,0.11038,-0.1797,-0.06,0.01358,-0.0311,-0.03392,-0.00018,0.00204,0.00032,-0.00187,-1.00E-05,0.00109,0.0059,0.0002,-3.00E-05,0.0004,0.00074,0.21675,-0.05868,0.01553,0.03988,-0.10039,0.11162,-0.17366,-0.05977,0.01354,-0.03066,-0.03317,84.3695,1.736,14.1907,1.6746,18.2848,82.2905,-25.0708,-8.9401,0.6622,-3.5551,2.8923
retro-7‘,,5.3243,-734.354141,-0.20896,-0.06159,-0.14737,0.13528,0.07369,0.12417,1.4847,1.5514,1.5435,1.4975,1.3369,1.4412,1.4967,1.0863,1.0861,1.0865,112.6456,109.0482,117.9135,120.9459,125.8337,110.9806,118.5905,121.9458,120.1445,1.0524,0.9733,0.9537,1.0407,1.9092,1.1765,1.0316,0.9119,0.9331,0.9181,3.4009,3.873,3.9966,3.8904,3.9496,3.8913,3.8727,3.9489,0.9493,0.9518,0.9481,0.06743,-0.51319,-0.12614,0.56766,-0.34222,-0.31959,0.46126,-0.2986,0.22849,0.22158,0.23425,1.99904,1.99919,1.99907,1.99921,1.99903,1.99915,1.99912,1.9991,0,0,0,3.91772,4.49487,4.11331,3.39286,4.32929,4.3089,3.50214,4.28418,0.77053,0.77782,0.76376,0.01581,0.01913,0.01375,0.04027,0.0139,0.01154,0.03748,0.01532,0.00098,0.0006,0.00199,5.93257,6.51319,6.12614,5.43234,6.34222,6.31959,5.53874,6.2986,0.77151,0.77842,0.76575,46.1749,155.9493,138.6055,-1.8797,67.369,63.7856,0.9939,133.8561,25.5772,26.5172,25.4615,3.4284,-734.367604,-0.23014,-0.02549,-0.20465,0.12782,0.10232,0.07983,1.5503,1.5395,1.5432,1.4369,1.4919,1.5352,1.5556,1.0878,1.1007,1.1043,1.5439,110.3274,109.9417,118.8006,124.4962,109.0895,103.5433,116.0359,109.8778,109.6279,106.4079,113.4414,113.0407,109.8778,105.1191,0.9651,0.9803,0.9411,1.2257,1.063,0.9441,0.972,0.9184,0.8927,0.8589,0.9758,3.9988,3.8915,4.0043,3.8773,3.3088,3.8759,3.8721,3.9591,0.948,0.9213,0.8949,-0.14529,-0.44716,-0.12709,0.43446,-0.11353,-0.51247,0.62511,-0.25015,0.2332,0.25521,0.27929,1.99902,1.9992,1.99904,1.99913,1.99916,1.99923,1.99926,1.99913,0,0,0,4.13077,4.43246,4.11271,3.52686,4.10026,4.49901,3.33388,4.23404,0.76489,0.74336,0.71781,0.0155,0.0155,0.01534,0.03955,0.01411,0.01423,0.04176,0.01698,0.00191,0.00143,0.0029,6.14529,6.44716,6.12709,5.56554,6.11353,6.51247,5.37489,6.25015,0.7668,0.74479,0.72071,138.8025,149.6143,145.5263,-4.0615,67.9942,145.4672,-21.0291,138.0645,26.8044,29.8964,28.7744,-8.448160399,-1.8959,-0.02118,0.0361,-0.05728,-0.00746,0.02863,-0.04434,0.0656,-0.0119,-0.0003,-0.0606,0.155,0.094,0.0589,0.0015,0.0146,0.0178,-0.0873,0.007,-0.0126,0.185,-0.8462,-0.2324,-0.0596,0.0065,-0.0404,-0.0592,0.5979,0.0185,0.0077,-0.0131,-0.6408,-0.0154,-0.0006,0.0102,-0.0013,-0.0305,-0.0532,-0.21272,0.06603,-0.00095,-0.1332,0.22869,-0.19288,0.16385,0.04845,0.00471,0.03363,0.04504,-2.00E-05,1.00E-05,-3.00E-05,-8.00E-05,0.00013,8.00E-05,0.00014,3.00E-05,0,0,0,0.21305,-0.06241,-0.0006,0.134,-0.22903,0.19011,-0.16826,-0.05014,-0.00564,-0.03446,-0.04595,-0.00031,-0.00363,0.00159,-0.00072,0.00021,0.00269,0.00428,0.00166,0.00093,0.00083,0.00091,0.21272,-0.06603,0.00095,0.1332,-0.22869,0.19288,-0.16385,-0.04845,-0.00471,-0.03363,-0.04504,92.6276,-6.335,6.9208,-2.1818,0.6252,81.6816,-22.023,4.2084,1.2272,3.3792,3.3129
retro-8,,5.7375,-734.352024,-0.20532,-0.02607,-0.17925,0.1157,0.08962,0.07467,1.5016,1.5482,1.5763,1.5029,1.3355,1.443,1.4931,1.0894,1.0868,1.0883,115.7864,114.9947,116.0041,124.5561,122.5022,119.4793,117.0419,121.782,121.7521,1.0415,0.9728,0.9572,1.0233,1.9672,1.1884,1.0586,0.9088,0.9314,0.9314,3.406,3.8875,4.001,3.9614,3.9564,3.9098,3.8654,3.8214,0.9498,0.9515,0.9561,0.07845,-0.49889,-0.13021,-0.27073,-0.23143,-0.41164,0.45519,-0.72251,0.22791,0.22274,0.21296,1.9991,1.99919,1.99902,1.9991,1.99909,1.99908,1.99912,1.99936,0,0,0,3.90741,4.48607,4.1159,4.25204,4.21527,4.40115,3.51119,4.71427,0.77097,0.77655,0.78612,0.01504,0.01362,0.01528,0.01959,0.01707,0.01142,0.03449,0.00888,0.00113,0.00071,0.00092,5.92155,6.49889,6.13021,6.27073,6.23143,6.41164,5.54481,6.72251,0.77209,0.77726,0.78704,60.7069,148.038,136.7347,125.9712,61.2676,75.1393,8.1937,170.9066,26.0598,26.9864,27.0193,4.0539,-734.357496,-0.19259,-0.02264,-0.16995,0.10762,0.08498,0.06814,1.5447,1.5468,1.5546,1.4932,1.4972,1.5423,1.5337,1.0879,1.1072,1.0995,1.5611,111.1728,112.9995,114.182,123.7142,109.4646,109.5462,118.2304,109.9642,110.3032,107.868,110.9224,115.3136,109.9642,104.8474,0.9756,0.971,0.9681,1.0531,1.0614,0.9478,0.9983,0.9307,0.8741,0.8988,0.9604,3.998,3.8918,3.9985,3.9514,3.113,3.8868,3.8729,3.8403,0.9556,0.8989,0.9249,-0.13626,-0.44721,-0.14662,-0.3144,-0.12781,-0.50786,0.60727,-0.66895,0.21197,0.24886,0.25584,1.99903,1.9992,1.99902,1.99911,1.99927,1.99923,1.99925,1.9994,0,0,0,4.12283,4.43209,4.13199,4.29684,4.1136,4.49531,3.35252,4.65745,0.78705,0.74894,0.74265,0.0144,0.01592,0.0156,0.01844,0.01493,0.01333,0.04097,0.01211,0.00099,0.0022,0.00152,6.13626,6.44721,6.14662,6.3144,6.12781,6.50786,5.39273,6.66895,0.78803,0.75114,0.74416,143.1451,147.1279,138.6097,131.5665,87.3271,145.9333,-13.4046,163.6735,27.1967,29.6904,29.7002,-3.433731984,-1.6836,0.01273,0.00343,0.0093,-0.00808,-0.00464,-0.00653,0.0431,-0.0014,-0.0217,-0.0097,0.1617,0.0993,0.0406,-0.0015,0.0204,0.0112,-0.0659,-0.0018,0.0109,0.0298,-0.9058,-0.2406,-0.0603,0.0219,-0.0573,-0.0326,0.592,0.0043,-0.0025,-0.01,-0.8434,-0.023,0.0075,0.0189,0.0058,-0.0526,-0.0312,-0.21471,0.05168,-0.01641,-0.04367,0.10362,-0.09622,0.15208,0.05356,-0.01594,0.02612,0.04288,-7.00E-05,1.00E-05,0,1.00E-05,0.00018,1.50E-04,0.00013,4.00E-05,0,0,0,0.21542,-0.05398,0.01609,0.0448,-0.10167,0.09416,-0.15867,-0.05682,0.01608,-0.02761,-0.04347,-6.40E-04,0.0023,0.00032,-0.00115,-2.14E-03,0.00191,0.00648,0.00323,-0.00014,0.00149,0.0006,0.21471,-0.05168,0.01641,0.04367,-0.10362,0.09622,-0.15208,-0.05356,0.01594,-0.02612,-0.04288,82.4382,-0.9101,1.875,5.5953,26.0595,70.794,-21.5983,-7.2331,1.1369,2.704,2.6809
retro-9,,4.5896,-734.327163,-0.20037,-0.03042,-0.16995,0.11539,0.08497,0.07835,1.5021,1.5651,1.5568,1.52,1.3334,1.5082,1.0876,1.0876,1.0868,1.087,110.0006,120.1617,111.1592,127.3178,115.4038,122.2513,113.3065,120.6819,123.3925,1.0237,0.9603,0.9781,0.9944,1.9791,1.016,0.9294,0.897,0.9288,0.9326,3.0949,3.9986,3.8754,3.9997,3.9491,3.9093,4.0024,0.955,0.9408,0.951,0.9585,-0.10228,-0.20283,-0.4466,-0.17048,-0.20475,-0.44349,-0.11801,0.21357,0.24916,0.2238,0.20695,1.99917,1.99899,1.99924,1.999,1.9991,1.99908,1.99911,0,0,0,0,4.08627,4.18781,4.43147,4.15656,4.1859,4.43381,4.10541,0.78536,0.7486,0.7755,0.79219,0.01684,0.01604,0.01589,0.01492,0.01975,0.0106,0.01348,0.00107,0.00224,0.0007,0.00086,6.10228,6.20283,6.4466,6.17048,6.20475,6.44349,6.11801,0.78643,0.75084,0.7762,0.79305,62.3894,133.886,145.9693,138.6214,49.1932,86.2296,148.4189,27.4786,24.9642,27.3092,27.5444,4.1062,-734.353869,-0.19057,-0.02075,-0.16982,0.10566,0.08491,0.06574,1.5703,1.5518,1.545,1.5068,1.4965,1.5811,1.0967,1.0868,1.1054,1.0952,1.5511,112.3085,110.4175,107.8488,120.0239,106.3948,107.623,118.7521,109.6961,110.6548,111.6835,108.7793,111.1694,109.6961,105.5552,0.9669,0.9687,0.971,1.0091,1.0554,0.9579,0.9026,0.9294,0.8843,0.9068,0.9872,3.9434,4.0013,3.8859,3.9955,3.1187,3.8896,4.0059,0.9435,0.9533,0.9094,0.934,-0.23713,-0.15272,-0.44626,-0.19826,-0.1111,-0.51996,-0.05109,0.24331,0.21739,0.23599,0.25562,1.99913,1.99902,1.99921,1.99901,1.99923,1.99927,1.99912,0,0,0,0,4.22139,4.13799,4.43264,4.18332,4.09626,4.50716,4.03798,0.75457,0.78162,0.76212,0.74323,0.01661,0.01571,0.0144,0.01593,0.01561,0.01353,0.01399,0.00211,0.00099,0.00189,0.00115,6.23713,6.15272,6.44626,6.19826,6.1111,6.51996,6.05109,0.75669,0.78261,0.76401,0.74438,139.4043,138.0604,148.4312,135.2557,78.4822,159.5337,151.1426,29.9561,27.4676,29.4674,29.7117,-16.75826871,-0.4834,0.0098,0.00967,0.00013,-0.00973,-6.00E-05,-0.01261,0.0682,-0.0133,-0.0118,-0.0132,0.1631,0.0729,0.0091,-0.0008,0.0186,0.0082,-0.0568,0.0084,-0.0071,0.0147,-0.9237,-0.0581,-0.0268,0.0324,-0.0445,-0.0258,0.8485,0.0027,0.0105,-0.0042,-0.8304,-0.0197,0.0035,-0.0115,0.0125,-0.0416,-0.0245,-0.13485,0.05011,0.00034,-0.02778,0.09365,-0.07647,0.06692,0.02974,-0.03177,0.01219,0.04867,-4.00E-05,3.00E-05,-3.00E-05,1.00E-05,0.00013,0.00019,1.00E-05,0,0,0,0,0.13512,-0.04982,0.00117,0.02676,-0.08964,0.07335,-0.06743,-0.03079,0.03302,-0.01338,-0.04896,-0.00023,-0.00033,-0.00149,0.00101,-0.00414,0.00293,0.00051,0.00104,-0.00125,0.00119,0.00029,0.13485,-0.05011,-0.00034,0.02778,-0.09365,0.07647,-0.06692,-0.02974,0.03177,-0.01219,-0.04867,77.0149,4.1744,2.4619,-3.3657,29.289,73.3041,2.7237,2.4775,2.5034,2.1582,2.1673
1endo,,5.7375,-734.352024,-0.20532,-0.02607,-0.17925,0.1157,0.08962,0.07467,1.5016,1.5482,1.5763,1.5029,1.3355,1.443,1.4931,1.0894,1.0868,1.0883,115.7864,114.9947,116.0041,124.5561,122.5022,119.4793,117.0419,121.782,121.7521,1.0415,0.9728,0.9572,1.0233,1.9672,1.1884,1.0586,0.9088,0.9314,0.9314,3.406,3.8875,4.001,3.9614,3.9564,3.9098,3.8654,3.8214,0.9498,0.9515,0.9561,0.07845,-0.49889,-0.13021,-0.27073,-0.23143,-0.41164,0.45519,-0.72251,0.22791,0.22274,0.21296,1.9991,1.99919,1.99902,1.9991,1.99909,1.99908,1.99912,1.99936,0,0,0,3.90741,4.48607,4.1159,4.25204,4.21527,4.40115,3.51119,4.71427,0.77097,0.77655,0.78612,0.01504,0.01362,0.01528,0.01959,0.01707,0.01142,0.03449,0.00888,0.00113,0.00071,0.00092,5.92155,6.49889,6.13021,6.27073,6.23143,6.41164,5.54481,6.72251,0.77209,0.77726,0.78704,60.7069,148.038,136.7347,125.9712,61.2676,75.1393,8.1937,170.9066,26.0598,26.9864,27.0193,4.0539,-734.357496,-0.19259,-0.02264,-0.16995,0.10762,0.08498,0.06814,1.5447,1.5468,1.5546,1.4932,1.4972,1.5423,1.5337,1.0879,1.1072,1.0995,1.5611,111.1728,112.9995,114.182,123.7142,109.4646,109.5462,118.2304,109.9642,110.3032,107.868,110.9224,115.3136,109.9642,104.8474,0.9756,0.971,0.9681,1.0531,1.0614,0.9478,0.9983,0.9307,0.8741,0.8988,0.9604,3.998,3.8918,3.9985,3.9514,3.113,3.8868,3.8729,3.8403,0.9556,0.8989,0.9249,-0.13626,-0.44721,-0.14662,-0.3144,-0.12781,-0.50786,0.60727,-0.66895,0.21197,0.24886,0.25584,1.99903,1.9992,1.99902,1.99911,1.99927,1.99923,1.99925,1.9994,0,0,0,4.12283,4.43209,4.13199,4.29684,4.1136,4.49531,3.35252,4.65745,0.78705,0.74894,0.74265,0.0144,0.01592,0.0156,0.01844,0.01493,0.01333,0.04097,0.01211,0.00099,0.0022,0.00152,6.13626,6.44721,6.14662,6.3144,6.12781,6.50786,5.39273,6.66895,0.78803,0.75114,0.74416,143.1451,147.1279,138.6097,131.5665,87.3271,145.9333,-13.4046,163.6735,27.1967,29.6904,29.7002,-3.433731984,-1.6836,0.01273,0.00343,0.0093,-0.00808,-0.00464,-0.00653,0.0431,-0.0014,-0.0217,-0.0097,0.1617,0.0993,0.0406,-0.0015,0.0204,0.0112,-0.0659,-0.0018,0.0109,0.0298,-0.9058,-0.2406,-0.0603,0.0219,-0.0573,-0.0326,0.592,0.0043,-0.0025,-0.01,-0.8434,-0.023,0.0075,0.0189,0.0058,-0.0526,-0.0312,-0.21471,0.05168,-0.01641,-0.04367,0.10362,-0.09622,0.15208,0.05356,-0.01594,0.02612,0.04288,-7.00E-05,1.00E-05,0,1.00E-05,0.00018,1.50E-04,0.00013,4.00E-05,0,0,0,0.21542,-0.05398,0.01609,0.0448,-0.10167,0.09416,-0.15867,-0.05682,0.01608,-0.02761,-0.04347,-6.40E-04,0.0023,0.00032,-0.00115,-2.14E-03,0.00191,0.00648,0.00323,-0.00014,0.00149,0.0006,0.21471,-0.05168,0.01641,0.04367,-0.10362,0.09622,-0.15208,-0.05356,0.01594,-0.02612,-0.04288,82.4382,-0.9101,1.875,5.5953,26.0595,70.794,-21.5983,-7.2331,1.1369,2.704,2.6809
2endo,,3.6853,-808.390927,-0.24863,-0.04705,-0.20158,0.14784,0.10079,0.10843,1.4679,1.5398,1.5739,1.5044,1.3355,1.4708,1.4884,1.0863,1.0869,1.0887,120.0822,115.5062,116.3921,123.741,122.4236,119.2233,116.8073,121.6267,121.9933,1.1215,0.9518,0.9557,1.0215,1.9696,1.1034,1.0675,0.898,0.9311,0.9331,3.4438,3.8721,4.0026,3.9627,3.947,3.912,3.8804,3.8071,0.9415,0.9514,0.9579,0.02479,0.50569,-0.20984,-0.26611,-0.2267,-0.41834,0.49459,-0.72875,0.24653,0.22284,0.20867,1.99902,1.99914,1.99896,1.99912,1.99909,1.99909,1.99921,1.99938,0,0,0,3.96152,3.45712,4.19409,4.24615,4.21038,4.40805,3.47106,4.71871,0.75192,0.77646,0.79036,0.01468,0.03805,0.01679,0.02084,0.01724,0.0112,0.03514,0.01067,0.00155,0.00069,0.00097,5.97521,5.49431,6.20984,6.26611,6.2267,6.41834,5.50541,6.72875,0.75347,0.77716,0.79133,70.144,-2.7243,122.9382,123.3981,60.8371,76.1549,-2.1822,174.8197,25.7333,27.1497,27.1458,5.4259,-808.387654,-0.2059,-0.04188,-0.16402,0.12389,0.08201,0.09358,1.5338,1.5369,1.5585,1.4909,1.4948,1.5504,1.5291,1.0871,1.1048,1.0987,1.5756,113.6563,110.6993,113.6811,122.9933,109.1666,110.538,118.6362,110.4803,110.7006,106.668,111.6869,115.4591,110.4803,105.2199,0.954,0.9398,0.9551,1.0559,1.0638,0.9331,0.9997,0.9264,0.8702,0.8958,0.9386,3.9917,3.8858,3.9886,3.9479,3.1183,3.8779,3.8779,3.8328,0.9522,0.8948,0.9244,-0.21768,0.60936,-0.22942,-0.30912,-0.12864,-0.50274,0.60715,-0.67383,0.21959,0.25895,0.2604,1.99895,1.99915,1.99893,1.99912,1.99926,1.99923,1.99926,1.99941,0,0,0,4.20396,3.34763,4.21473,4.29192,4.11426,4.4905,3.35282,4.6603,0.7795,0.73896,0.73801,0.01477,0.04387,0.01576,0.01808,0.01512,0.01302,0.04078,0.01411,0.00091,0.00209,0.00159,6.21768,5.39064,6.22942,6.30912,6.12864,6.50274,5.39285,6.67383,0.78041,0.74105,0.7396,122.3912,-12.7314,123.5706,123.6966,86.0523,139.4474,-9.2004,170.6342,27.0696,29.1847,29.3078,2.053838594,1.7406,0.04273,0.00517,0.03756,-0.02395,-0.01878,-0.01485,0.0659,-0.0029,-0.0154,-0.0135,0.1593,0.0796,0.0407,0.0008,0.0179,0.01,-0.1675,-0.012,-0.0006,0.0344,-0.9058,-0.1703,-0.0678,0.0284,-0.0609,-0.0373,0.5479,0.0137,-0.014,-0.0148,-0.8287,-0.0341,-0.0025,0.0257,0.0107,-0.0566,-0.0335,-0.24247,0.10367,-0.01958,-0.04301,0.09806,-0.0844,0.11256,0.05492,-0.02694,0.03611,0.05173,-7.00E-05,1.00E-05,-3.00E-05,0.00E+00,0.00017,0.00014,5.00E-05,3.00E-05,0,0,0,0.24244,-0.10949,0.02064,0.04577,-0.09612,0.08245,-0.11824,-0.05841,0.02758,-0.0375,-0.05235,9.00E-05,0.00582,-0.00103,-0.00276,-0.00212,0.00182,0.00564,0.00344,-0.00064,0.0014,0.00062,0.24247,-0.10367,0.01958,0.04301,-0.09806,0.0844,-0.11256,-0.05492,0.02694,-0.03611,-0.05173,52.2472,-10.0071,0.6324,0.2985,25.2152,63.2925,-7.0182,-4.1855,1.3363,2.035,2.162
